beta,omega,solution_1,solution_2,solution_3,power
0.04,0.78,1.07165202679015,-3.55341386495127e-06,-0.0716509715658433,-0.0907844174016762
0.04,0.8,1.06414450120718,-8.06335553576132e-06,-0.0641432974467547,-0.0907382942481814
0.04,0.82,1.05707166311031,4.33744821467802e-06,-0.0570703195786907,-0.0895333158028858
0.04,0.84,1.02766168939668,-0.0648642070420267,-0.0276591226430864,-0.0891943987863541
0.04,0.86,1.03005182731079,-0.0440095286979112,-0.0300495140753918,-0.082860780725889
0.04,0.88,1.03778766440678,-9.78448736703547e-05,-0.0377859384459489,-0.0775860734286631
0.04,0.9,1.03189307196859,-2.01908195191251e-05,-0.0318912301864488,-0.0703938902178535
0.04,0.92,1.00836012705589,3.77965995326508e-06,-0.00835782005213631,-0.0559982911002491
0.04,0.94,1.00562467480547,3.28660394297355e-07,-0.00562231366302099,-0.0428560296846261
0.04,0.96,1.00221762252447,8.750996316581e-07,-0.00221519399924494,-0.0281236579606585
0.04,0.98,0.999765917470963,1.12884622650743e-07,0.000236559554134722,-0.0121211311155614
0.04,1,1.00000247240749,1.28107670699864e-07,-6.13731903680723e-11,-1.88024026233546e-22
0.06,0,4.35039704120154e+153,0.1,0.1,0
0.06,0.02,1.00098916687623,3.51165190751282e-06,-0.000986714079399395,-0.00999602070644475
0.06,0.04,1.00681118632011,-8.1668458780437e-07,-0.00680884863435715,-0.0199909121034202
0.06,0.06,1.02330308107318,-4.62808130821274e-07,-0.0233010695843103,-0.0303238008146373
0.06,0.08,1.01796874872866,-4.07612685944311e-06,-0.0179666316963602,-0.0400525554574225
0.06,0.1,1.01553460882584,3.27143950174856e-06,-0.0155324437212991,-0.0497422387321931
0.06,0.12,1.01412723483509,3.92604638683146e-06,-0.0141250419005371,-0.0593159823765937
0.06,0.14,1.01358090340856,-3.15804375859585e-06,-0.0135786995980471,-0.0687489985765288
0.06,0.16,1.0062271499855,3.64890941039189e-06,-0.00622480079223977,-0.0778365254319896
0.06,0.18,1.05198780655564,-5.50511794859386e-06,-0.0519863623732244,-0.0913888392768276
0.06,0.2,1.01527856670623,3.16430366659191e-06,-0.0152763965363701,-0.0958664180726615
0.06,0.22,1.01678100791434,-1.22203603300013e-06,-0.0167788674178803,-0.104398364719855
0.06,0.24,1.01877798342513,-4.08343069003903e-06,-0.0187758823986295,-0.112612750393344
0.06,0.26,1.01560816868723,-3.81051795728859e-06,-0.01560600496759,-0.120335292543568
0.06,0.28,1.05626902629173,-6.63806374705685e-06,-0.0562676667761935,-0.131426456409409
0.06,0.3,1.06274849785932,7.40438136690299e-06,-0.0627472666402776,-0.138700961268277
0.06,0.32,1.0703852311905,-8.06246895934542e-06,-0.0703841508656221,-0.145323659250132
0.06,0.34,1.0737050741206,1.25791570570153e-05,-0.340168567907909,-0.159334484815944
0.06,0.36,1.09294184213791,2.99125866975094e-05,-0.31887642152368,-0.151039336066604
0.06,0.38,1.10851920102306,1.15053555895852e-05,-0.299720094981925,-0.142031356047461
0.06,0.4,1.12101086462691,1.49729052341437e-05,-0.282439932353185,-0.132569703917918
0.06,0.42,1.13086432044495,3.27221589096052e-06,-0.266868024783391,-0.122931922243906
0.06,0.44,1.13846571840025,1.47076213563294e-05,-0.252896397450567,-0.113404184752111
0.06,0.46,1.14415403345024,7.85517164362869e-06,-0.240455947976866,-0.104234825602327
0.06,0.48,1.1482686466127,6.11373248096131e-06,-0.229435237456379,-0.0956271811999446
0.06,0.5,1.1511155266881,-4.38029225014213e-07,-0.219730885731932,-0.087698386722461
0.06,0.52,1.15296859370084,-1.59192685255176e-05,-0.211200306923785,-0.0804952077150249
0.06,0.54,1.15406280612462,1.30184690912432e-05,-0.20372093865978,-0.0740043121534278
0.06,0.56,1.15458983618555,4.68330613099782e-07,-0.197144800094298,-0.0681872874183461
0.06,0.58,1.15469561729346,1.78889552263302e-05,-0.191341649319958,-0.0629802300528627
0.06,0.6,1.15449654768885,-1.74402264952738e-05,-0.18621826663087,-0.0583174872290809
0.06,0.62,1.15155538855788,2.22366607868319e-06,-0.16871333811474,-0.0629046382029391
0.06,0.64,1.1451691028548,1.18134085098528e-05,-0.152249654253513,-0.0677889694330498
0.06,0.66,1.13587787336421,5.61780202988012e-06,-0.137443571248491,-0.0722528282899723
0.06,0.68,1.1240367311751,-4.39533386457839e-06,-0.12403671206078,-0.0761607577744817
0.06,0.7,1.11204389781932,-3.64233698523663e-06,-0.112043641505905,-0.0796599746654117
0.06,0.72,1.10135138953207,3.94374248433625e-06,-0.101350921806306,-0.082823872254069
0.06,0.74,1.09169341632846,5.13423796549114e-06,-0.0916927575891838,-0.0854968201611186
0.06,0.76,1.08286148611679,7.55922615879187e-06,-0.0828606527145482,-0.0875163883202859
0.06,0.78,1.07469883745108,-4.76757816996914e-06,-0.0746978424777073,-0.0887173513175345
0.06,0.8,1.0670770688853,5.09387730539642e-06,-0.0670759232583202,-0.0889402367839787
0.06,0.82,1.05990698457504,-1.40177797219459e-07,-0.0599056970790296,-0.0880305572706366
0.06,0.84,1.03242974680626,0.0645738925356484,-0.0324285544461302,-0.0879113553381589
0.06,0.86,1.04663338030641,9.00917334322839e-07,-0.0466318302817576,-0.0822548903899378
0.06,0.88,1.04039680821233,-0.000122539178259941,-0.0403951336136084,-0.0771272137963015
0.06,0.9,1.0114557147004,4.8019142300033e-06,-0.0114534689344464,-0.0665452446478714
0.06,0.92,1.00909836921334,-3.29988208596578e-06,-0.00909607674127893,-0.0547730835136197
0.06,0.94,1.00415766184522,-2.06720567029027e-06,-0.00415527166297593,-0.0410125108329655
0.06,0.96,1.00094233611061,-1.04703450025045e-06,-0.000939882342457116,-0.0259978198463687
0.06,0.98,0.998571330899108,2.68449694910601e-07,0.00143116975221915,-0.00970095066114596
0.06,1,1.00000248777903,1.38826747046277e-07,-1.54333195067537e-08,-1.43535725475537e-22
0.08,0,4.35039704120154e+153,0.1,0.1,0
0.08,0.02,1.00088458078611,2.57128483324451e-06,-0.000882125911389698,-0.0099959354717251
0.08,0.04,1.00713741532119,2.19124466439901e-06,-0.00713508411767707,-0.0199928937310117
0.08,0.06,1.02294432645232,-4.38064978377554e-06,-0.0229423078290832,-0.0303082383395618
0.08,0.08,1.00423853603453,3.53918205472208e-06,-0.00423614750734883,-0.0397398938969877
0.08,0.1,1.01564533245106,4.03944162378556e-06,-0.0156431695441157,-0.0497385022045444
0.08,0.12,1.01431926915104,2.62520514335307e-06,-0.0143170800017631,-0.059310041735437
0.08,0.14,1.01378857458903,-1.78983055642369e-06,-0.0137863748992541,-0.0687358733285539
0.08,0.16,1.01387494064301,-3.36536354811166e-06,-0.0138727426462126,-0.0779838513496475
0.08,0.18,1.01496776004603,3.98051794418225e-06,-0.014965583736802,-0.0870410198267895
0.08,0.2,1.05077289255873,-6.24837662982385e-06,-0.0507714243391076,-0.09987047134705
0.08,0.22,1.05053378336248,4.70170555814025e-06,-0.0505323105215779,-0.108166336166471
0.08,0.24,1.0507730646603,-6.66739640568333e-06,-0.0507715964397167,-0.116084803332567
0.08,0.26,1.0536589385429,6.35098283367957e-06,-0.0536575275308342,-0.123962323952503
0.08,0.28,1.05683002722542,-6.9800051328862e-06,-0.0568286788025509,-0.131292276511333
0.08,0.3,1.06348182641725,7.09330164824153e-06,-0.0634806096988624,-0.138534109784566
0.08,0.32,1.03406488508921,2.49810089879191e-06,-0.0340630864877882,-0.140993809550722
0.08,0.34,1.07595990534956,-0.00201714998654946,-0.337776967873935,-0.158022872627542
0.08,0.36,1.10009579297379,1.08535544070901e-05,-0.100095300481894,-0.156702529684252
0.08,0.38,1.10953528004084,5.99112389108092e-06,-0.29838842003368,-0.140695545464443
0.08,0.4,1.12178372928548,3.01079364562956e-05,-0.281288718164058,-0.131351666792677
0.08,0.42,1.13142213644338,1.14856307051829e-05,-0.265914088714865,-0.121861484511542
0.08,0.44,1.13884534182581,-7.21718361044228e-06,-0.252135586176423,-0.112499915898428
0.08,0.46,1.1444043150868,2.96186500506814e-07,-0.239851982369956,-0.103498183710571
0.08,0.48,1.14842217420068,-4.01346283982811e-06,-0.228970950237698,-0.0950456565740306
0.08,0.5,1.15120335003528,-5.78889761773318e-06,-0.21937747975411,-0.0872461706111977
0.08,0.52,1.15301627784737,1.75984975433981e-05,-0.210933368582818,-0.0801478588201459
0.08,0.54,1.15408550990861,-1.21310172080392e-05,-0.203516859096183,-0.0737400492967277
0.08,0.56,1.15459673869149,-1.87268979680923e-05,-0.196988923395809,-0.0679811481672171
0.08,0.58,1.15469437925407,-7.91282783374351e-08,-0.191232961467425,-0.0628197218413444
0.08,0.6,1.15449109882102,-3.51387614432091e-06,-0.186134618566822,-0.0581929835101514
0.08,0.62,1.15272410223792,2.96083838668612e-06,-0.173485937548215,-0.0594877548079533
0.08,0.64,1.14730137919196,1.29342568694866e-05,-0.15675537582398,-0.0645007979832302
0.08,0.66,1.13893740385877,-1.21760069581233e-07,-0.141713219283817,-0.0691408788197017
0.08,0.68,1.12798493964402,-1.04204749285071e-05,-0.128085018800683,-0.0732806413973238
0.08,0.7,1.11578530388191,8.20902004751811e-07,-0.115785121613999,-0.076912308696859
0.08,0.72,1.10483685453802,1.49226421618385e-06,-0.104836455727108,-0.0802156071450696
0.08,0.74,1.09497195198306,4.97301933344957e-06,-0.094971358088435,-0.0830565189549676
0.08,0.76,1.08597462732405,3.27715609326735e-06,-0.0859738554543677,-0.0852745822989638
0.08,0.78,1.0776747484956,3.92997840913534e-06,-0.0776738124688562,-0.0867048107634312
0.08,0.8,1.06994284238926,3.05780330061877e-06,-0.069941753424337,-0.0871860952755801
0.08,0.82,1.02643173031757,0.0978704667699174,-0.0264307486110193,-0.0935197198928729
0.08,0.84,1.05579542405427,1.53346566416353e-05,-0.055794055388642,-0.0846981357288494
0.08,0.86,1.04924676649508,-1.18093928136357e-05,-0.0492452680349529,-0.0814501348992535
0.08,0.88,1.04121933544238,0.0070853162688936,-0.0412177483949603,-0.0767481624029621
0.08,0.9,1.01020017651991,5.37300993682325e-06,-0.0101979059262905,-0.0652795166094691
0.08,0.92,1.00723353157883,-3.54068057240667e-06,-0.00723120221971139,-0.0531209143616666
0.08,0.94,1.00175623853086,-1.01520371113485e-06,-0.00175380086119955,-0.0389810115961675
0.08,0.96,0.999693364868435,5.78797192918045e-07,0.000309113587074817,-0.023797210637854
0.08,0.98,0.997387669314108,-3.19025606976745e-07,0.00261485475468787,-0.00719967538393069
0.08,1,1.00000269623536,-3.51576467173995e-07,-2.23888926680222e-07,0
0.1,0,4.35039704120154e+153,0.1,0.1,0
0.1,0.02,1.00099064131964,3.5052983082125e-06,-0.000988188551933358,-0.00999590784034754
0.1,0.04,1.03472000285051,5.42202293433008e-06,-0.0347182172355972,-0.0206319794460026
0.1,0.06,1.0052067746945,-1.61782705434945e-06,-0.00520440526542905,-0.0299021504837883
0.1,0.08,1.0180704527191,-3.48166625905646e-06,-0.01806833770429,-0.0400481866048957
0.1,0.1,1.00438703502103,3.2306585741549e-06,-0.00438464942795531,-0.0494717771329437
0.1,0.12,1.01422790926645,3.95635092690759e-06,-0.0142257183235885,-0.0592929095881911
0.1,0.14,1.0137190403586,-3.06329502366578e-06,-0.0137168392812395,-0.0687118373037427
0.1,0.16,1.0554508319796,7.7684616494113e-06,-0.0554494564234488,-0.0827330747128953
0.1,0.18,1.01426293134229,-3.55180090388032e-06,-0.0142607410177319,-0.0869683715041897
0.1,0.2,1.05104900854287,-6.6126982772787e-06,-0.0510475457807559,-0.0998358771633396
0.1,0.22,1.05036791773094,-3.93669988265557e-07,-0.0503664415589918,-0.108024832545147
0.1,0.24,1.01923064821495,-4.13887268124267e-06,-0.0192285561411766,-0.112412242356739
0.1,0.26,1.02184418828517,-4.24687235631535e-06,-0.0218421479036004,-0.12020486043215
0.1,0.28,1.05741803624201,-7.10250737148377e-06,-0.0574166994481703,-0.131162986779999
0.1,0.3,1.03003777340438,-4.55995019252268e-06,-0.030035895080828,-0.134470128776012
0.1,0.32,1.03510443741733,3.25942682706909e-06,-0.0351026593847682,-0.140752884207344
0.1,0.34,1.08442653070444,-9.50571503387381e-06,-0.0844257280884823,-0.150991576845926
0.1,0.36,1.1024093636658,1.12142607776542e-05,-0.10240891693764,-0.156448326471279
0.1,0.38,1.11049213677665,5.34835834432794e-07,-0.297126836505815,-0.139428504205693
0.1,0.4,1.12251408781104,4.79166645470112e-05,-0.280198611679942,-0.130199556713124
0.1,0.42,1.13194347015503,8.89912937874615e-06,-0.265014397745237,-0.120848655996915
0.1,0.44,1.13920969307723,2.59739029258824e-05,-0.251392348749399,-0.111644622903296
0.1,0.46,1.14464008078856,-1.73244979513433e-05,-0.239270817078745,-0.102799746909307
0.1,0.48,1.14856895967307,-9.00716423711821e-07,-0.228526379891702,-0.0944878858111472
0.1,0.5,1.15128902933646,1.63895030841454e-05,-0.219032314048879,-0.0868123971929445
0.1,0.52,1.15306243310162,-1.86150949607371e-05,-0.210676298337588,-0.0798112471314866
0.1,0.54,1.15410644484697,2.42916047792637e-06,-0.203327550483971,-0.0734784334675732
0.1,0.56,1.15460295627202,-2.634586241026e-06,-0.196846070082257,-0.067781263570737
0.1,0.58,1.15469307145598,-1.48717894036148e-05,-0.191116944932768,-0.0626643107647364
0.1,0.6,1.15448530050245,1.03246316498099e-05,-0.186045559763776,-0.05807159476919
0.1,0.62,1.15357210604921,7.10330580734598e-06,-0.178018758762607,-0.0562850346753388
0.1,0.64,1.14906228057714,7.41220738022437e-06,-0.16106489484642,-0.0613792774995037
0.1,0.66,1.14157509822626,-7.97899635125037e-06,-0.145807713110344,-0.0661549075807562
0.1,0.68,1.13148793930599,-5.92221007669371e-06,-0.131993906055217,-0.07048161837737
0.1,0.7,1.11943657392563,7.49766734560262e-06,-0.119436463942305,-0.0742685090159581
0.1,0.72,1.10823839611422,-3.1689409862854e-06,-0.108238064536381,-0.0776972277589319
0.1,0.74,1.09817330461562,7.25758565263716e-06,-0.0981727740632183,-0.0806901836745482
0.1,0.76,1.08901333954647,2.64877843604104e-06,-0.0890126277733184,-0.0830933958328122
0.1,0.78,1.08058011653139,9.58670617031129e-06,-0.0805792380259312,-0.0847399826224109
0.1,0.8,1.07273948442658,3.01615789244557e-07,-0.0727384507492512,-0.0854727617864834
0.1,0.82,1.02632511757899,0.104389538209471,-0.0263241982344968,-0.0897515133047331
0.1,0.84,1.05842349415811,-5.20434001416549e-06,-0.0584221772700206,-0.0835711861065368
0.1,0.86,1.03639815024863,-0.0512836581733659,-0.0363958905993658,-0.0784553799121501
0.1,0.88,1.04454421065811,-0.00380829983438223,-0.0445425816404079,-0.0763074011856537
0.1,0.9,1.00820174750014,5.09469177662647e-06,-0.0081994373767904,-0.0639110793679465
0.1,0.92,1.00540212710597,-3.05034428585618e-06,-0.00539976152828561,-0.0513930531656544
0.1,0.94,1.00124975089706,1.30209944924507e-06,-0.00124730323249932,-0.0370933810609578
