zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,fval
0.24,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.89E-20
0.24,0.98,1.001853421,-0.005369489,0.004447682,-0.000560804,-0.001233729,0.000865495,2.22E-19
0.24,0.97,1.001828703,-0.005484971,0.004373881,-0.000575284,-0.001170359,0.00103066,2.69E-19
0.24,0.96,0.998987235,-0.002829368,0.003901719,-0.00140475,0.00197048,-0.000622629,1.50E-19
0.24,0.94,0.986770016,0.010940895,0.000848348,0.002409917,-0.000642123,-0.000324252,6.63E-19
0.24,0.93,0.985086489,0.009639666,0.006601795,-0.001620548,0.000968222,-0.000672769,0
0.24,0.92,0.984143836,0.011750351,0.005535078,-0.00251868,0.001422493,-0.00033016,0
0.24,0.91,0.983958307,0.011511607,0.005546527,-0.002534568,0.001944962,-0.000423848,2.81E-19
0.24,0.89,0.976289748,0.021175933,0.001818646,0.000467523,0.000115713,0.000135555,0
0.24,0.88,0.965979765,0.035260833,-0.002450995,0.001349193,-0.000462233,0.000326626,0
0.24,0.87,0.964406198,0.035265985,-0.000766464,0.000819334,0.000360231,-8.20E-05,3.49E-19
0.25,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.65E-20
0.25,0.99,-0.999988455,-0.00322934,0.00370636,0.001027149,-0.00122263,-0.000295608,2.67E-19
0.25,0.98,0.995468844,0.004421089,-0.000423479,0.002231675,-0.002848161,0.001152611,5.79E-19
0.25,0.97,0.998824169,-0.006027421,0.009639536,-0.002712308,0.000581965,-0.000303312,1.36E-19
0.25,0.95,0.99884996,-0.003134641,0.002136125,0.004133734,-0.003002004,0.001019561,0
0.25,0.94,0.99617698,-0.002936272,0.00862087,-0.003360052,0.001758222,-0.00025695,1.18E-19
0.25,0.93,0.985469851,0.012887693,-0.000847217,0.004069099,-0.001685759,0.000109191,4.09E-20
0.25,0.92,0.986183814,0.012671293,-0.001234513,0.003501509,-0.001902294,0.000783112,3.11E-20
0.25,0.91,0.968890022,0.0340767,-0.002751256,-0.00053736,0.000336917,-1.20E-05,0
0.25,0.89,0.972527809,0.026961016,-0.00185453,0.003315299,-0.001184738,0.000238271,1.49E-19
0.25,0.88,0.972458325,0.026849005,-0.001927817,0.003303246,-0.001109554,0.000429984,0
0.25,0.87,0.962361518,0.037903248,-0.001635437,0.001998993,-0.000920872,0.000295818,2.39E-19
0.25,0.86,0.962449241,0.037791365,-0.002353891,0.002321769,-0.000427947,0.0002228,0
0.26,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.44E-20
0.26,0.98,0.997867005,0.003844711,-0.004906357,0.00393889,-0.000719691,-2.20E-05,2.89E-19
0.26,0.97,0.996133722,0.002922873,0.000126031,0.001992828,-0.0020199,0.000847071,0
0.26,0.95,0.995059747,0.002562334,0.000159975,0.003451544,-0.001596279,0.000365413,0
0.26,0.91,0.986642702,0.006485968,0.008334669,-0.002855243,0.001870053,-0.000475163,0
0.26,0.9,0.975594075,0.019442335,0.007085736,-0.00288893,0.001120301,-0.000350464,0
0.26,0.89,0.977193097,0.017055547,0.007129252,-0.002719241,0.001908938,-0.000564472,0
0.26,0.88,0.974007984,0.022788917,0.003507493,-0.001329276,0.000881063,0.00014701,0
0.26,0.86,0.961242118,0.039278038,-0.001938641,0.001633952,-0.000777232,0.000565106,0
0.26,0.84,0.953251528,0.046852674,-0.001667486,0.001629023,-0.000231931,0.00016969,0
0.27,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.23E-20
0.27,0.99,1.013905914,-0.023538426,0.011239364,-0.002255767,0.000810128,-0.000158693,0
0.27,0.98,1.00061692,-0.000493768,-0.001564377,0.002669484,-0.002507281,0.001281593,0
0.27,0.97,0.999968399,-0.000433627,-0.000881284,0.002523208,-0.002650168,0.001476097,0
0.27,0.95,0.998908507,-0.003301138,0.002218905,0.004256499,-0.003174396,0.001094363,5.38E-20
0.27,0.93,0.998217114,-0.007711647,0.010687235,-0.001290233,-0.000294336,0.000394726,1.78E-19
0.27,0.92,0.993294552,-0.001839082,0.009575675,-0.001369178,0.000253554,8.74E-05,0
0.27,0.9,0.977469111,0.017260002,0.007092246,-0.002684058,0.001246045,-0.000380295,0
0.27,0.89,0.977274004,0.016989245,0.007120656,-0.002783903,0.001943491,-0.000540369,7.00E-20
0.27,0.88,0.975043567,0.021049558,0.004554893,-0.001686908,0.000787546,0.000254535,0
0.27,0.87,0.972029609,0.023847566,0.003400558,0.000620236,-0.000133016,0.00023831,0
0.27,0.86,0.959712704,0.041092543,-0.002568128,0.002259117,-0.000848647,0.00035575,0
0.27,0.84,0.954404195,0.045547024,-0.001940482,0.001920644,-9.95E-06,8.21E-05,6.99E-19
0.28,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,5.05E-20
0.28,0.99,0.998631989,-0.000860685,0.000975389,0.002386329,-0.000623441,-0.000507058,1.81E-20
0.28,0.98,0.997973897,-0.001017363,0.000463107,0.005495118,-0.003091243,0.000179057,0
0.28,0.97,0.998358683,-0.001163745,0.000593324,0.004724986,-0.00331406,0.00080344,3.82E-20
0.28,0.94,0.999633703,-0.005001602,0.002641501,0.004918968,-0.003374103,0.00118433,0
0.28,0.93,0.994525126,0.00128154,0.000991723,0.004936629,-0.002338386,0.000606227,1.52E-19
0.28,0.91,0.986653877,0.007673607,0.005063729,0.000727064,-4.06E-05,-7.47E-05,0
0.28,0.89,0.982978959,0.00825934,0.010696393,-0.003169777,0.001439405,-0.000201201,0
0.28,0.88,0.977517672,0.017159468,0.005602606,-0.000854222,0.000206548,0.000371122,1.30E-19
0.28,0.87,0.970726041,0.023123475,0.007356882,-0.002070238,0.001094036,-0.000226926,5.20E-19
0.28,0.86,0.960186299,0.038414172,0.001159792,-0.000172849,0.000566835,-0.000150901,8.64E-19
0.28,0.85,0.960468444,0.038151431,0.00064604,-5.77E-05,0.000706645,8.85E-05,0
0.29,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.87E-20
0.29,0.99,0.998473436,-0.001110404,0.001324034,0.002568272,-0.000577358,-0.000675462,0
0.29,0.97,1.000305692,-0.004593274,0.005966439,-0.001768309,-0.000741752,0.000833831,0
0.29,0.96,1.002057001,-0.005189181,0.001502047,0.002767985,-0.002341441,0.001206272,0
0.29,0.95,0.999868521,-0.004891204,0.003786859,0.000857534,0.000720223,-0.000339189,5.71E-19
0.29,0.94,1.000820932,-0.007112269,0.005173304,0.001810048,-0.001514771,0.000825554,7.21E-20
0.29,0.93,0.996107939,-0.004256994,0.008097323,0.000596017,-0.000775751,0.000234322,0
0.29,0.92,0.993807238,-0.000751956,0.006937892,0.000639531,-0.001603016,0.000973228,0
0.29,0.91,0.982951668,0.011635745,0.005498408,9.88E-05,3.91E-05,-0.000220678,0
0.29,0.89,0.974167584,0.022766156,0.004384011,-0.002432873,0.001102741,1.55E-05,1.30E-20
0.29,0.86,0.962818958,0.036260465,-0.000525289,0.002064977,-0.001262253,0.000646488,2.01E-19
0.29,0.85,0.959544459,0.039628129,-0.000469801,0.000606159,0.000855068,-0.000160592,1.06E-20
0.29,0.82,0.948415371,0.05083536,-0.001154416,0.001699535,-2.05E-05,0.000228361,0
0.3,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.71E-20
0.3,0.99,0.999782096,-0.000565259,0.000893123,0.001489055,-0.003118119,0.00152163,1.45E-19
0.3,0.97,1.003547984,-0.011477287,0.011822279,-0.004688936,-5.16E-06,0.000803751,2.56E-20
0.3,0.95,0.986103291,0.01513881,-0.003614673,0.002456394,0.000904043,-0.000985129,0
0.3,0.94,0.996912812,-0.005730565,0.011052211,-0.002892063,0.000675533,-1.51E-05,5.14E-19
0.3,0.91,0.986813608,0.005711214,0.009545646,-0.004110392,0.002925375,-0.00088247,0
0.3,0.9,0.985817152,0.005926112,0.010427864,-0.004347886,0.002955229,-0.000775424,2.24E-19
0.3,0.88,0.974724131,0.019465334,0.006579278,-0.001991265,0.001819774,-0.000594057,2.81E-19
0.3,0.87,0.974264523,0.019995337,0.006805118,-0.00255379,0.001401621,9.05E-05,1.02E-18
0.3,0.85,0.960347655,0.037035206,0.002422316,-0.000678299,0.001047063,-0.000170517,0
0.3,0.83,0.954613923,0.043262411,0.000765801,0.001108785,-7.28E-05,0.000325497,0
0.3,0.82,0.946838004,0.052802018,-0.001795619,0.002322479,-0.000448587,0.000285386,1.04E-18
0.31,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.56E-20
0.31,0.99,0.999594532,-0.000566535,0.000844159,0.001609652,-0.002652088,0.001172806,1.90E-19
0.31,0.98,0.998763757,-0.001027842,0.001006255,0.003753242,-0.003649827,0.001156994,5.47E-19
0.31,0.97,0.998217805,-0.001358473,0.001231544,0.004717478,-0.003856565,0.001050838,0
0.31,0.96,0.999034999,-0.001153576,0.000845718,0.002641021,-0.002757591,0.00139211,0
0.31,0.95,-0.993379315,-0.003600212,-0.006617259,0.006099012,-0.002150342,-0.000354627,5.80E-19
0.31,0.94,0.998347344,-0.002821594,0.001358318,0.004016178,-0.000952942,5.55E-05,3.95E-19
0.31,0.93,0.98842137,0.007902621,0.002776915,0.002871676,-0.003103192,0.001133465,0
0.31,0.9,0.984287434,0.009317014,0.007743517,-0.00266216,0.00146242,-0.000145178,0
0.31,0.89,-0.982014758,-0.007912754,-0.013190387,0.004807304,-0.002234465,0.000541937,3.56E-20
0.31,0.88,0.973663275,0.019616408,0.007758142,-0.001215595,0.000409729,-0.000228769,0
0.31,0.87,0.975085042,0.018119089,0.007666394,-0.00218095,0.001462492,-0.000148795,7.94E-19
0.31,0.85,0.96507533,0.029349745,0.006030749,-0.001570425,0.001308483,-0.000190455,2.51E-20
0.31,0.84,0.958895316,0.036829881,0.004225843,-0.00048572,0.000469617,6.86E-05,5.15E-19
0.31,0.83,0.948142748,0.052259516,-0.001962448,0.001396099,0.000197642,-3.00E-05,0
0.31,0.82,0.947993466,0.052042401,-0.00194336,0.001650974,-0.000113073,0.000373263,0
0.32,1,1.000000412,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.42E-20
