zeta,omega_ratio,solution_1,solution_2,solution_3
0.35,1.06,1.004060163,0.000782188,-0.004840151
0.35,1.07,1.004433973,0.001303859,-0.005735674
0.35,1.08,1.002889373,0.004634838,-0.007522093
0.35,1.09,1.004612336,0.003013128,-0.007623384
0.35,1.1,1.017372254,-0.015256219,-0.00211399
0.35,1.11,1.02857642,-0.031114237,0.002539825
0.35,1.12,1.029850639,-0.03203184,0.002183169
0.35,1.13,1.030746808,-0.03256998,0.001825108
0.35,1.14,1.031249804,-0.03244919,0.001201287
0.35,1.15,1.031752986,-0.032328111,0.000576992
0.35,1.16,1.035336995,-0.037033552,0.001698398
0.36,1,1.000000824,8.24E-07,8.24E-07
0.36,1.01,1.000735542,0.000177336,-0.000910456
0.36,1.02,1.001468269,0.000357214,-0.001823111
0.36,1.03,1.001613269,0.001212614,-0.002823555
0.36,1.04,0.995167467,0.011881858,-0.007047035
0.36,1.05,0.992684114,0.016783238,-0.009465109
0.36,1.06,0.993166779,0.017093099,-0.010257676
0.36,1.07,1.00182235,0.005194357,-0.007014548
0.36,1.08,1.002167657,0.005652593,-0.007818129
0.36,1.09,1.003746667,0.004292754,-0.008037342
0.36,1.1,1.01601534,-0.013146608,-0.00286669
0.36,1.11,1.016904975,-0.01357802,-0.003324949
0.36,1.12,1.017892411,-0.01414274,-0.003747701
0.36,1.13,1.01808951,-0.013626971,-0.004460601
0.36,1.14,1.035207361,-0.038333034,0.003127573
0.36,1.15,1.035881519,-0.038642092,0.002762446
0.36,1.16,1.036793815,-0.039167521,0.002375544
0.36,1.17,1.03577843,-0.03681189,0.001035266
0.37,1,1.000000824,8.24E-07,8.24E-07
0.37,1.01,1.000715359,0.000172651,-0.000885587
0.37,1.02,1.001428759,0.000347483,-0.001773869
0.37,1.03,1.002133444,0.000523124,-0.002654243
0.37,1.04,1.002649217,0.000723745,-0.003370676
0.37,1.05,1.003329848,0.000896362,-0.00422397
0.37,1.06,1.003782211,0.00115288,-0.004932888
0.37,1.07,1.004339826,0.001505698,-0.005843369
0.37,1.08,1.004750217,0.001774485,-0.006522581
0.37,1.09,1.00505761,0.002213598,-0.007269123
0.37,1.1,1.006915715,0.000530989,-0.007444663
0.37,1.11,1.019477836,-0.017532581,-0.001943245
0.37,1.12,1.020273362,-0.01777558,-0.002495809
0.37,1.13,1.031340026,-0.033496769,0.002158681
0.37,1.14,1.032385825,-0.034153119,0.001769196
0.37,1.15,1.033141672,-0.034543468,0.001403668
0.37,1.16,1.034172059,-0.035197268,0.001027046
0.37,1.17,1.034914053,-0.035584006,0.000671762
0.38,1,1.000000824,8.24E-07,8.24E-07
0.38,1.01,1.001115986,-0.000438879,-0.000674683
0.38,1.02,1.002019727,-0.000556754,-0.001460599
0.38,1.03,1.002704019,-0.000387917,-0.002313774
0.38,1.04,1.003018795,0.000242199,-0.003258711
0.38,1.05,1.003680835,0.000409178,-0.004087775
0.38,1.06,1.004139385,0.000632943,-0.004770126
0.38,1.07,1.004706409,0.000945033,-0.005649287
0.38,1.08,1.005123127,0.001188019,-0.006309024
0.38,1.09,1.00564473,0.001510143,-0.007152796
0.38,1.1,1.006032344,0.001751811,-0.00778211
0.38,1.11,1.017988635,-0.015236593,-0.002750034
0.38,1.12,1.018814744,-0.015496381,-0.003316395
0.38,1.13,1.020138015,-0.016646837,-0.003489242
